Case 1: Area 3845883.2343749995, Perimeter 7844.4
Case 506: Area 3760372.7814310007, Perimeter 7756.8640000000005
Case 507: Area 3768585.009943, Perimeter 7766.848
Case 508: Area 3244341.1819519997, Perimeter 7204.896
Case 509: Area 3350803.4486740003, Perimeter 7325.41
Case 510: Area 3894415.124574, Perimeter 7893.71
Case 511: Area 3783061.229922, Perimeter 7780.054
Case 512: Area 3503936.7759149997, Perimeter 7498.072
Case 513: Area 2812322.327832, Perimeter 6718.396
Case 514: Area 3080033.764737, Perimeter 7041.884
Case 515: Area 3591800.200855, Perimeter 7582.2880000000005
Case 516: Area 3886254.2073240005, Perimeter 7885.678
Case 517: Area 3737975.146572, Perimeter 7734.386
Case 518: Area 3827558.27376, Perimeter 7825.724
Case 519: Area 2999707.792914, Perimeter 6929.182
Case 520: Area 3604231.253502, Perimeter 7594.0740000000005
Case 521: Area 3049640.612263, Perimeter 6986.768
Case 522: Area 3782418.925307, Perimeter 7779.384
Case 523: Area 3619491.0054559996, Perimeter 7618.164
Case 524: Area 3731304.0253439997, Perimeter 7726.639999999999
Case 525: Area 2512561.6713119997, Perimeter 6367.664
Case 526: Area 3946702.3653450003, Perimeter 7946.524
Case 527: Area 3482464.927275, Perimeter 7464.744000000001
Case 528: Area 3842342.43138, Perimeter 7841.022
Case 529: Area 3870242.1466959994, Perimeter 7869.556
Case 530: Area 3937083.5391120003, Perimeter 7936.914000000001
Case 531: Area 3703267.6162199997, Perimeter 7698.048
Case 532: Area 3678005.761386, Perimeter 7673.29
Case 533: Area 3440192.1453360002, Perimeter 7419.5740000000005
Case 534: Area 3809503.5999629996, Perimeter 7808.008
Case 535: Area 3585041.533346, Perimeter 7578.006
Case 536: Area 3741435.958788, Perimeter 7737.528
Case 537: Area 3761476.6365, Perimeter 7758.43
Case 538: Area 3877912.7267400003, Perimeter 7877.2880000000005
Case 539: Area 3852569.317676, Perimeter 7851.696
Case 540: Area 2125117.447072, Perimeter 5934.494
Case 541: Area 3196444.16448, Perimeter 7163.343999999999
Case 542: Area 3658166.7601960003, Perimeter 7651.256
Case 543: Area 3125850.814562, Perimeter 7089.174
Case 544: Area 3756068.864753, Perimeter 7752.7080000000005
Case 545: Area 3833778.441259, Perimeter 7832.487999999999
Case 546: Area 568762.357575, Perimeter 3674.24
Case 547: Area 3849796.3230560003, Perimeter 7849.536
Case 548: Area 3021709.5093300003, Perimeter 6979.094
Case 549: Area 3841733.685832, Perimeter 7840.334
Case 550: Area 3894580.728282, Perimeter 7893.886
Case 551: Area 3786298.03747, Perimeter 7783.366
Case 552: Area 3762379.9679520004, Perimeter 7760.2660000000005
Case 553: Area 3848149.207393, Perimeter 7847.228
Case 554: Area 3784271.18928, Perimeter 7782.568
Case 555: Area 3834778.365454, Perimeter 7833.25
Case 556: Area 3648383.694, Perimeter 7641.726000000001
Case 557: Area 3849317.2233849997, Perimeter 7847.956
Case 558: Area 3697466.1492279996, Perimeter 7692.201999999999
Case 559: Area 3816012.679171, Perimeter 7814.68
Case 560: Area 3705627.33644, Perimeter 7700.898
Case 561: Area 3733915.745979, Perimeter 7729.992
Case 562: Area 659893.644864, Perimeter 3482.482
Case 563: Area 3903560.3047100003, Perimeter 7902.978
Case 564: Area 3761838.22966, Perimeter 7758.826
Case 565: Area 2915181.1202800004, Perimeter 6831.026
Case 566: Area 3679975.441912, Perimeter 7673.4259999999995
Case 567: Area 3766331.2354220003, Perimeter 7763.766
Case 568: Area 3692508.495928, Perimeter 7686.362
Case 569: Area 3525626.3587589995, Perimeter 7510.911999999999
Case 570: Area 1867637.2052250002, Perimeter 5745.364
Case 571: Area 3792088.5476889997, Perimeter 7789.8679999999995
Case 572: Area 3876546.3603519998, Perimeter 7875.964
Case 573: Area 3411093.729886, Perimeter 7388.674
Case 574: Area 3612222.472356, Perimeter 7602.52
Case 575: Area 3621937.983161, Perimeter 7614.3240000000005
Case 576: Area 3891526.409925, Perimeter 7891.2119999999995
Case 577: Area 3615280.9011620004, Perimeter 7605.774
Case 578: Area 3804719.195277, Perimeter 7802.276
Case 579: Area 3321767.549412, Perimeter 7307.086
Case 580: Area 3722740.041416, Perimeter 7718.166
Case 581: Area 2046293.6653980003, Perimeter 6010.542
Case 582: Area 3651998.1743199998, Perimeter 7644.644
Case 583: Area 3686717.401136, Perimeter 7682.46
Case 584: Area 3776195.8775450005, Perimeter 7773.5160000000005
Case 585: Area 3389248.5073649995, Perimeter 7371.531999999999
Case 586: Area 3827894.5781520004, Perimeter 7826.606
Case 587: Area 3877109.1250560004, Perimeter 7876.6
Case 588: Area 3768552.0388619998, Perimeter 7766.646
Case 589: Area 3811588.204384, Perimeter 7810.412
Case 590: Area 3227581.3893119995, Perimeter 7196.575999999999
Case 591: Area 3934628.06115, Perimeter 7934.4220000000005
Case 592: Area 3915094.684332, Perimeter 7914.736
Case 593: Area 3350133.014795, Perimeter 7327.416
Case 594: Area 3861507.291027, Perimeter 7860.344
Case 595: Area 2019349.626663, Perimeter 5786.608
Case 596: Area 3617726.8195019998, Perimeter 7610.4259999999995
Case 597: Area 3122784.062176, Perimeter 7093.304
Case 598: Area 3784375.4746679994, Perimeter 7782.672
Case 599: Area 3414639.9138959995, Perimeter 7402.61
Case 600: Area 1764080.77189, Perimeter 5325.0740000000005
Case 601: Area 3527882.6462419997, Perimeter 7519.554
Case 602: Area 3618280.1632740004, Perimeter 7610.278
Case 603: Area 3601168.217637, Perimeter 7590.796
Case 604: Area 3857241.2906299997, Perimeter 7856.178
Case 605: Area 3298811.51404, Perimeter 7287.826
Case 606: Area 3841949.84257, Perimeter 7840.858
Case 607: Area 3732896.73448, Perimeter 7728.718000000001
Case 608: Area 3880686.2865190003, Perimeter 7879.84
Case 609: Area 1638626.798367, Perimeter 5399.376
Case 610: Area 3100348.081047, Perimeter 7047.536
Case 611: Area 3822043.4594079996, Perimeter 7820.371999999999
Case 612: Area 3832719.5858980003, Perimeter 7831.162
Case 613: Area 3668547.649922, Perimeter 7662.174
Case 614: Area 3917907.1870180005, Perimeter 7917.518
Case 615: Area 2184702.49857, Perimeter 5943.662
Case 616: Area 3782594.658094, Perimeter 7779.598
Case 617: Area 3788493.4044850003, Perimeter 7787.636
Case 618: Area 3189835.935416, Perimeter 7145.3099999999995
Case 619: Area 3911627.8465839997, Perimeter 7911.139999999999
Case 620: Area 818050.785879, Perimeter 3740.0
Case 621: Area 3421094.36004, Perimeter 7407.412
Case 622: Area 2499547.166576, Perimeter 6332.79
Case 623: Area 0.0, Perimeter 0.0
Case 624: Area 3580035.663932, Perimeter 7570.686
Case 625: Area 2957894.651334, Perimeter 6920.03
Case 626: Area 3758131.2633040003, Perimeter 7754.4580000000005
Case 627: Area 3956917.822817, Perimeter 7956.804
Case 628: Area 3894158.9565359997, Perimeter 7893.474
Case 629: Area 3728949.9589509997, Perimeter 7725.296
Case 630: Area 2209711.84005, Perimeter 5989.93
Case 631: Area 499593.7596, Perimeter 2909.902
Case 632: Area 2959255.515378, Perimeter 6894.4580000000005
Case 633: Area 3544680.990213, Perimeter 7531.2119999999995
Case 634: Area 1977280.3763909999, Perimeter 5656.799999999999
Case 635: Area 3863529.5006, Perimeter 7862.6759999999995
Case 636: Area 3901483.7475610003, Perimeter 7900.876
Case 637: Area 3782825.9515019995, Perimeter 7780.226
Case 638: Area 3641625.9517599996, Perimeter 7634.974
Case 639: Area 3236035.3889949997, Perimeter 7195.784
Case 640: Area 3123926.3141349996, Perimeter 7092.704
Case 641: Area 2860632.2521419995, Perimeter 6769.226
Case 642: Area 3729688.6257070005, Perimeter 7725.544
Case 643: Area 3498903.8601419996, Perimeter 7482.286
Case 644: Area 3047386.8805250004, Perimeter 6999.780000000001
Case 645: Area 3552988.483044, Perimeter 7540.402
Case 646: Area 3641157.2962200004, Perimeter 7632.758
Case 647: Area 1812307.399353, Perimeter 5412.652
Case 648: Area 2241867.979248, Perimeter 6124.6720000000005
Case 649: Area 3533308.248204, Perimeter 7523.43
Case 650: Area 3876856.587648, Perimeter 7875.932000000001
Case 651: Area 3838982.75622, Perimeter 7837.362
Case 652: Area 3823140.5308699994, Perimeter 7821.534
Case 653: Area 3892046.97708, Perimeter 7891.332
Case 654: Area 3677499.265714, Perimeter 7670.99
Case 655: Area 3893395.4459639997, Perimeter 7892.718
Case 656: Area 3132748.6142479996, Perimeter 7079.838
Case 657: Area 3848856.16222, Perimeter 7847.402
Case 658: Area 3898302.606493, Perimeter 7897.732
Case 659: Area 3832633.6451919996, Perimeter 7831.364
Case 660: Area 3892730.3603109997, Perimeter 7892.1759999999995
Case 661: Area 2272648.0438200003, Perimeter 6065.438
Case 662: Area 3523729.904511, Perimeter 7514.96
Case 663: Area 0.0, Perimeter 0.0
Case 664: Area 3767439.3339, Perimeter 7764.322
Case 665: Area 3603058.2088670004, Perimeter 7592.856
Case 666: Area 3653674.774336, Perimeter 7646.4400000000005
Case 667: Area 3744275.4039360005, Perimeter 7740.274
Case 668: Area 3733123.3779350007, Perimeter 7728.8640000000005
Case 669: Area 2286804.132102, Perimeter 6128.3060000000005
Case 670: Area 3447094.622808, Perimeter 7437.5779999999995
Case 671: Area 3602036.690798, Perimeter 7599.258
Case 672: Area 0.0, Perimeter 0.0
Case 673: Area 3742833.05884, Perimeter 7738.852
Case 674: Area 3568707.7654399998, Perimeter 7562.376
Case 675: Area 3802503.356985, Perimeter 7800.148
Case 676: Area 3295885.225742, Perimeter 7284.126
Case 677: Area 3719197.69049, Perimeter 7714.614
Case 678: Area 3708276.7457099995, Perimeter 7703.458
Case 679: Area 3215003.234976, Perimeter 7176.3
Case 680: Area 3875142.3136940002, Perimeter 7874.610000000001
Case 681: Area 3810418.4212880004, Perimeter 7808.142
Case 682: Area 3270700.695894, Perimeter 7236.802
Case 683: Area 3708456.0446879994, Perimeter 7705.382
Case 684: Area 391579.331628, Perimeter 2568.922
Case 685: Area 3814971.68568, Perimeter 7813.844
Case 686: Area 3861005.7564109997, Perimeter 7859.879999999999
Case 687: Area 3912592.78476, Perimeter 7912.266
Case 688: Area 2031079.546254, Perimeter 5820.842000000001
Case 689: Area 3574672.2018910004, Perimeter 7565.72
Case 690: Area 3576689.1438960005, Perimeter 7564.93
Case 691: Area 881087.312764, Perimeter 4068.832
Case 692: Area 3820718.04455, Perimeter 7818.834000000001
Case 693: Area 3867001.9961039997, Perimeter 7866.508
Case 694: Area 3741496.7081310004, Perimeter 7737.72
Case 695: Area 3741171.732287, Perimeter 7740.144
Case 696: Area 3938191.8819540003, Perimeter 7938.142
Case 697: Area 3548857.439622, Perimeter 7535.665999999999
Case 698: Area 3860149.6366600003, Perimeter 7859.4580000000005
Case 699: Area 3585803.8302889997, Perimeter 7576.668
Case 700: Area 3342047.091921, Perimeter 7320.156
Case 701: Area 3731153.16871, Perimeter 7729.034
Case 702: Area 3415735.914066, Perimeter 7398.67
Case 703: Area 3422442.3071250003, Perimeter 7409.26
Case 704: Area 3735278.2214120002, Perimeter 7731.606
Case 705: Area 3616348.9489289997, Perimeter 7607.2919999999995
Case 706: Area 2067774.8301600001, Perimeter 5838.206
Case 707: Area 2174532.265659, Perimeter 5898.5199999999995
Case 708: Area 3434205.9381700004, Perimeter 7420.078
Case 709: Area 3760625.25195, Perimeter 7756.99
Case 710: Area 2095782.9699689997, Perimeter 5814.78
Case 711: Area 2286535.9838400004, Perimeter 6067.0960000000005
Case 712: Area 3361278.3584310003, Perimeter 7333.536
Case 713: Area 3882069.45302, Perimeter 7881.4619999999995
Case 714: Area 3830496.453036, Perimeter 7829.04
Case 715: Area 3750824.4030720005, Perimeter 7749.756
Case 716: Area 3912666.719013, Perimeter 7912.268
Case 717: Area 3862478.4368899995, Perimeter 7861.397999999999
Case 718: Area 3320395.4519750006, Perimeter 7290.624000000001
Case 719: Area 3763756.2005100003, Perimeter 7760.914000000001
Case 720: Area 3870200.247122, Perimeter 7869.186
Case 721: Area 3882420.5324939997, Perimeter 7881.897999999999
Case 722: Area 3880015.039488, Perimeter 7879.222
Case 723: Area 3537008.05807, Perimeter 7522.825999999999
Case 724: Area 3780547.623216, Perimeter 7778.084
Case 725: Area 3858250.3377, Perimeter 7857.338
Case 726: Area 3902919.3943229998, Perimeter 7902.3279999999995
Case 727: Area 3921266.89459, Perimeter 7920.886
Case 728: Area 3839555.488572, Perimeter 7837.914000000001
Case 729: Area 3734888.86781, Perimeter 7730.346
Case 730: Area 3648747.0357799996, Perimeter 7644.126
Case 731: Area 3864515.349456, Perimeter 7863.38
Case 732: Area 3732354.277587, Perimeter 7728.936
Case 733: Area 3906582.4846230005, Perimeter 7906.2080000000005
Case 734: Area 3063679.016508, Perimeter 7001.472
Case 735: Area 3919400.81631, Perimeter 7918.994000000001
Case 736: Area 3594279.7993599996, Perimeter 7583.8279999999995
Case 737: Area 0.0, Perimeter 0.0
Case 738: Area 3410650.94229, Perimeter 7387.734
Case 739: Area 2595727.1372340005, Perimeter 6475.27
Case 740: Area 3798587.069649, Perimeter 7796.028
Case 741: Area 3605545.8652500003, Perimeter 7598.0740000000005
Case 742: Area 3568454.9095840002, Perimeter 7556.33
Case 743: Area 3662853.134122, Perimeter 7655.746
Case 744: Area 3915586.5944270003, Perimeter 7915.176
Case 745: Area 3889516.537064, Perimeter 7889.118
Case 746: Area 3928902.3958399994, Perimeter 7928.585999999999
Case 747: Area 3527526.547328, Perimeter 7514.082
Case 748: Area 3760398.7199399997, Perimeter 7756.706
Case 749: Area 3021737.3412379995, Perimeter 6956.382
Case 750: Area 3846866.65748, Perimeter 7845.822
Case 751: Area 3740317.349802, Perimeter 7736.654
Case 752: Area 3642684.254658, Perimeter 7634.702
Case 753: Area 3630932.461204, Perimeter 7624.942
Case 754: Area 2767246.5636859997, Perimeter 6667.074
Case 755: Area 3800399.733741, Perimeter 7799.139999999999
Case 756: Area 3224357.9186960002, Perimeter 7189.98
Case 757: Area 3572672.148477, Perimeter 7560.644
Case 758: Area 3866596.6048049997, Perimeter 7866.508
Case 759: Area 3888606.1188, Perimeter 7887.82
Case 760: Area 3811043.5139519996, Perimeter 7809.816
Case 761: Area 3774419.160226, Perimeter 7771.754
Case 762: Area 3870671.216724, Perimeter 7869.63
Case 763: Area 3872456.883498, Perimeter 7871.4619999999995
Case 764: Area 3737160.650496, Perimeter 7732.844
Case 765: Area 3601183.2280800007, Perimeter 7593.6320000000005
Case 766: Area 3609367.503075, Perimeter 7599.384
Case 767: Area 3260195.62806, Perimeter 7228.778
Case 768: Area 3594443.169564, Perimeter 7586.6900000000005
Case 769: Area 3724437.822577, Perimeter 7719.6759999999995
Case 770: Area 2909577.1804110003, Perimeter 6829.224
Case 771: Area 3921291.8766, Perimeter 7920.91
Case 772: Area 3518527.8124079998, Perimeter 7504.298
Case 773: Area 3324714.090225, Perimeter 7321.244000000001
Case 774: Area 3231680.3024279997, Perimeter 7192.798
Case 775: Area 3750226.4496759996, Perimeter 7746.896
Case 776: Area 3544320.621779, Perimeter 7531.5599999999995
Case 777: Area 3743869.181696, Perimeter 7740.4439999999995
Case 778: Area 3294356.09912, Perimeter 7261.164
Case 779: Area 3839485.4384200005, Perimeter 7837.8640000000005
Case 780: Area 3941299.979036, Perimeter 7941.12
Case 781: Area 3803435.935125, Perimeter 7800.98
Case 782: Area 3616066.291732, Perimeter 7606.424000000001
Case 783: Area 3825285.5972949998, Perimeter 7824.111999999999
Case 784: Area 3777197.082021, Perimeter 7774.54
Case 785: Area 3759369.267846, Perimeter 7755.67
Case 786: Area 3780163.0587159996, Perimeter 7777.183999999999
Case 787: Area 3806694.4123469996, Perimeter 7805.864
Case 788: Area 3529482.408564, Perimeter 7521.1900000000005
Case 789: Area 3782329.968379, Perimeter 7779.608
Case 790: Area 23502.15500199999, Perimeter 738.0339999999999
Case 791: Area 3528758.094675, Perimeter 7516.216
Case 792: Area 3726227.4778119996, Perimeter 7721.415999999999
Case 793: Area 3817854.1256589997, Perimeter 7816.36
Case 794: Area 3670979.77884, Perimeter 7664.853999999999
Case 795: Area 3820012.654067999, Perimeter 7819.777999999999
Case 796: Area 3951334.757568, Perimeter 7951.2080000000005
Case 797: Area 1399284.8878320002, Perimeter 4758.534
Case 798: Area 3860005.70109, Perimeter 7859.758
Case 799: Area 0.0, Perimeter 0.0
Case 800: Area 3438771.215264, Perimeter 7424.982
Case 801: Area 3569445.134144, Perimeter 7557.24
Case 802: Area 826411.79516, Perimeter 3637.998
Case 803: Area 3559065.342564, Perimeter 7554.968
Case 804: Area 3861242.5236, Perimeter 7860.26
Case 805: Area 3723194.4145919997, Perimeter 7719.504
Case 806: Area 3801185.4112480003, Perimeter 7798.892
Case 807: Area 3825698.1862639994, Perimeter 7824.0599999999995
Case 808: Area 3952078.592553, Perimeter 7951.948
Case 809: Area 3622572.1995969997, Perimeter 7617.124
Case 810: Area 3007777.907001, Perimeter 6967.18
Case 811: Area 3781929.947144, Perimeter 7779.93
Case 812: Area 3866863.0478940005, Perimeter 7865.802000000001
Case 813: Area 3824147.547465, Perimeter 7823.092
Case 814: Area 3401470.2534999996, Perimeter 7377.248
Case 815: Area 3558168.289934, Perimeter 7548.8099999999995
Case 816: Area 3867353.542248, Perimeter 7866.308
Case 817: Area 3569379.9915839997, Perimeter 7558.66
Case 818: Area 3563718.579696, Perimeter 7551.34
Case 819: Area 3694521.840742, Perimeter 7688.534
Case 820: Area 2200439.5465800003, Perimeter 5937.682000000001
Case 821: Area 669161.07402, Perimeter 3581.426
Case 822: Area 3523276.948312, Perimeter 7508.523999999999
Case 823: Area 3781124.7100549997, Perimeter 7778.111999999999
Case 824: Area 2933227.8823679998, Perimeter 6851.308
Case 825: Area 3546850.4029260003, Perimeter 7537.67
Case 826: Area 3460134.1929699997, Perimeter 7444.234
Case 827: Area 3855597.5172000006, Perimeter 7854.482
Case 828: Area 3687118.1199600003, Perimeter 7681.148
Case 829: Area 3348644.6108, Perimeter 7329.42
Case 830: Area 3790184.582788, Perimeter 7787.558
Case 831: Area 3510179.4990000003, Perimeter 7494.34
Case 832: Area 3821050.7301089996, Perimeter 7819.78
Case 833: Area 3827745.262632, Perimeter 7826.906
Case 834: Area 3676934.858613, Perimeter 7670.188
Case 835: Area 3855144.661944, Perimeter 7853.8099999999995
Case 836: Area 3576082.1636320003, Perimeter 7565.974
Case 837: Area 3951140.8970999997, Perimeter 7950.992
Case 838: Area 3467775.804476, Perimeter 7448.85
Case 839: Area 2904346.520361, Perimeter 6845.1
Case 840: Area 3305206.005536, Perimeter 7298.58
Case 841: Area 3690176.50404, Perimeter 7684.084
Case 842: Area 3872213.0236170003, Perimeter 7871.3640000000005
